SKU,Farads,Farads Unit,Voltage,Tolerance,Manufacturer,Size,Mounting Style,Price,Link,Category
A-7528,0.01,Î¼F,100V,10%,WIMA,Radial,th,0.42,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/10nf-100v-10-polyester-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7219,33.0,pF,1000V,5%,WIMA,Radial,th,0.45,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/33pf-1000v-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7224,47.0,pF,1000V,5%,WIMA,Radial,th,0.42,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/47pf-1000v-5-polyester-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7003,100.0,pF,100V,5%,WIMA,Radial,th,0.29,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/100pf-100v-5-polypropylene-film-foil-box-type.html,Polypropylene Capacitors
A-7005,1000.0,pF,100V,5%,WIMA,Radial,th,0.32,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/1000pf-100v-2-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7218,1500.0,pF,1000V,5%,WIMA,Radial,th,0.42,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/1500pf-1000v-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7220,220.0,pF,100V,5%,WIMA,Radial,th,0.40,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/220pf-100v-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7222,3300.0,pF,63V,5%,WIMA,Radial,th,0.42,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/3300pf-63v-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7526,220.0,pF,1000V,5%,WIMA,Radial,th,0.35,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/220pf-1000v-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7221,470.0,pF,100V,5%,WIMA,Radial,th,0.42,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/470pf-100v-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7225,2200.0,pF,100V,5%,WIMA,Radial,th,0.32,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/2200pf-100v-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7004,470.0,pF,1000V,5%,WIMA,Radial,th,0.28,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/470pf-1000v-5-polypropylene-film-foil-box-type.html,Polypropylene Capacitors
A-7223,4700.0,pF,100V,10%,WIMA,Radial,th,0.42,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/4700pf-100v-10-polyester-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7525,6800.0,pF,63V,5%,WIMA,Radial,th,0.39,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/6800pf-63v-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors
A-7527,680.0,pF,1000V,5%,WIMA,Radial,th,0.39,https://www.taydaelectronics.com/capacitors/polypropylene-film-foil-capacitors/680pf-1000v-5-polypropylene-film-foil-box-type-capacitor.html,Polypropylene Capacitors